"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0734","MaoC-like domain protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4015","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0735","LrgA family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4014","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0740","smtA protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4790","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0741","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4789","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0743","3-ketoacyl-(acyl-carrier-protein) reductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4786","probable short-chain dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0755","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA3565","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0757","adenosine deaminase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0148","adenine deaminase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0758","2OG-Fe(II) oxygenase family oxidoreductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0147","probable oxidoreductase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0767","ABC transporter permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA0138","probable permease of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0770","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0168","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0772","xanthine/uracil permease family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0166","probable transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0774","beta-alanine--pyruvate aminotransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0132","Beta-alanine:pyruvate transaminase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0776","exodeoxyribonuclease V subunit gamma","","Pseudomonas aeruginosa PAO1 (Reference)","PA4285","exodeoxyribonuclease V gamma chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0781","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA3711","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0783","3-hydroxyisobutyrate dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0743","probable 3-hydroxyisobutyrate dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0788","phosphonate ABC transporter, permease protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3316","probable permease of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0789","phosphonate ABC transporter, permease protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3315","probable permease of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0790","phosphonate ABC transporter, ATP-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3314","probable ATP-binding component of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0793","selenide, water dikinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1642","selenophosphate synthetase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0794","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1643","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0795","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0278","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0798","50S ribosomal protein L27","","Pseudomonas aeruginosa PAO1 (Reference)","PA4567","50S ribosomal protein L27",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0800","glutamate 5-kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4565","glutamate 5-kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0802","30S ribosomal protein S20","","Pseudomonas aeruginosa PAO1 (Reference)","PA4563","30S ribosomal protein S20",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0804","membrane protein, MviN family","","Pseudomonas aeruginosa PAO1 (Reference)","PA4562","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0805","riboflavin biosynthesis protein RibF","","Pseudomonas aeruginosa PAO1 (Reference)","PA4561","riboflavin kinase/FAD synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0808","FKBP-type peptidyl-prolyl cis-trans isomerase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4558","probable peptidyl-prolyl cis-trans isomerase, FkbP-type",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0810","type IV pilus biogenesis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4550","type 4 fimbrial biogenesis protein FimU",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0812","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4551","type 4 fimbrial biogenesis protein PilV",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0814","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4553","type 4 fimbrial biogenesis protein PilX",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0815","type IV pilus-associated protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4554","type 4 fimbrial biogenesis protein PilY1",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0816","type IV pilus biogenesis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4556","type 4 fimbrial biogenesis protein PilE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0817","oxidoreductase, FAD-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4548","probable D-amino acid oxidase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0823","type 4 fimbriae expression regulatory protein pilR","","Pseudomonas aeruginosa PAO1 (Reference)","PA4547","two-component response regulator PilR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0824","sensor protein PilS","","Pseudomonas aeruginosa PAO1 (Reference)","PA4546","two-component sensor PilS",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0827","ribosomal large subunit pseudouridine synthase D","","Pseudomonas aeruginosa PAO1 (Reference)","PA4544","pseudouridine synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0897","LuxR family DNA-binding response regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1397","probable two-component response regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0912","methyl-accepting chemotaxis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0176","aerotaxis transducer Aer2",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0913","chemotaxis sensor histidine kinase CheA","","Pseudomonas aeruginosa PAO1 (Reference)","PA0178","probable two-component sensor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0915","chemotaxis protein CheY","","Pseudomonas aeruginosa PAO1 (Reference)","PA0179","probable two-component response regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0916","methyl-accepting chemotaxis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0180","chemotactic transducer for trichloroethylene [positive chemotaxis], CttP",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0919","MOSC domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4536","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0920","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4535","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0922","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4530","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0923","dephospho-CoA kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4529","dephosphocoenzyme A kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0926","type IV pilus biogenesis protein PilB","","Pseudomonas aeruginosa PAO1 (Reference)","PA4526","type 4 fimbrial biogenesis protein PilB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0927","type IV pilus biogenesis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4525","type 4 fimbrial precursor PilA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0939","HAD-superfamily hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5547","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0943","tellurium resistance protein TerC","","Pseudomonas aeruginosa PAO1 (Reference)","PA2549","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0947","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3696","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0948","nicotinate-nucleotide pyrophosphorylase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4524","nicotinate-nucleotide pyrophosphorylase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0949","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4523","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0950","N-acetyl-anhydromuranmyl-L-alanine amidase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4522","beta-lactamase expression regulator AmpD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0951","AmpE protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4521","AmpE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0952","TatD family hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3564","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0953","DNA-binding transcriptional regulator FruR","","Pseudomonas aeruginosa PAO1 (Reference)","PA3563","fructose transport system repressor FruR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0954","phosphoenolpyruvate-protein phosphotransferase,EI/HPr/EIIA components","","Pseudomonas aeruginosa PAO1 (Reference)","PA3562","phosphotransferase system transporter enzyme I, FruI",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0955","1-phosphofructokinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3561","1-phosphofructokinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0957","acetyl-CoA acetyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2001","acetyl-CoA acetyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0958","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4734","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0959","glucose-6-phosphate isomerase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4732","glucose-6-phosphate isomerase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0965","sensor histidine kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4725","two-component sensor CbrA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0966","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4724.1","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0967","glutamyl-Q tRNA(Asp) synthetase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4724","probable aminoacyl-transfer RNA synthetase (class I)",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0968","ISPsy6, transposase","PSPTO_4792 | ISPsy6, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA1368","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0969","dnaK suppressor protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4723","suppressor protein DksA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0972","iron-sulfur cluster-binding protein, Rieske family","","Pseudomonas aeruginosa PAO1 (Reference)","PA4711","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0976","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4701","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0977","penicillin-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4700","penicillin-binding protein 1B",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0980","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4697","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0982","acetolactate synthase small subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA4695","acetolactate synthase isozyme III small subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0990","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4684","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0991","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4679","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0994","carbonic anhydrase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4676","probable carbonic anhydrase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0997","acyltransferase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5238","probable O-antigen acetylase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0998","alkylphosphonate utilization operon protein PhnA","","Pseudomonas aeruginosa PAO1 (Reference)","PA0128","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0999","major facilitator family transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA4113","probable major facilitator superfamily (MFS) transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1000","CDP-alcohol phosphatidyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3857","phosphatidylcholine synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1001","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2049","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1005","GDP-mannose 4,6-dehydratase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5453","GDP-mannose 4,6-dehydratase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1009","isochorismatase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1202","probable hydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1025","transglycosylase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1222","probable membrane-bound lytic murein transglycolase A",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1049","TRAP dicarboxylate transporter subunit DctM","","Pseudomonas aeruginosa PAO1 (Reference)","PA5169","DctM",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1061","methyl-accepting chemotaxis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4310","chemotactic transducer PctB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1071","glycosyl transferase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3553","ArnC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1072","DegT/DnrJ/EryC1/StrS family aminotransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3552","ArnB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1076","O-antigen ABC transporter, permease protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2678","probable permease of ABC-2 transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1089","type I restriction-modification enzyme, R subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA2732","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1101","GTP-binding protein YchF","","Pseudomonas aeruginosa PAO1 (Reference)","PA4673","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1102","peptidyl-tRNA hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4672","peptidyl-tRNA hydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1104","ribose-phosphate pyrophosphokinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4670","ribose-phosphate pyrophosphokinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1105","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4669","isopentenyl monophosphate kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1106","outer membrane lipoprotein LolB","","Pseudomonas aeruginosa PAO1 (Reference)","PA4668","lipoprotein localization protein LolB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1109","peptide chain release factor 1","","Pseudomonas aeruginosa PAO1 (Reference)","PA4665","peptide chain release factor 1",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1112","glutamate racemase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4662","glutamate racemase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1121","deoxyribodipyrimidine photolyase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4660","deoxyribodipyrimidine photolyase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1123","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4658","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1126","amine oxidase, flavin-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4657","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1127","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4656","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1128","ferrochelatase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4655","ferrochelatase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1129","uracil transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA4647","uracil permease",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_1130","uracil phosphoribosyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4646","uracil phosphoribosyltransferase",""
